2458592.08615	14.312	0.041	15.272	H
2458595.07822	14.231	0.041	15.191	H
2458601.06641	14.301	0.034	15.261	H
2458607.05306	14.232	0.043	15.192	H
2458613.05453	14.148	0.038	15.108	H
2458616.01819	14.173	0.041	15.133	H
2458618.99458	14.221	0.035	15.181	H
2458629.02274	14.167	0.042	15.127	H
2458631.99525	14.123	0.03	15.083	H
2458634.97576	14.206	0.03	15.166	H
2458637.95073	14.125	0.039	15.085	H
2458643.97004	14.007	0.036	14.967	H
2458646.94157	13.875	0.026	14.835	H
2458649.93460	13.699	0.029	14.659	H
2458664.86239	13.809	0.033	14.769	H
2458667.85923	13.934	0.033	14.894	H
2458676.83863	14.022	0.034	14.982	H
2457865.06457	14.156	0.024	15.116	H
2457880.03927	14.135	0.022	15.095	H
2457883.02208	14.273	0.027	15.233	H
2457886.05072	14.256	0.032	15.216	H
2457891.99597	14.131	0.026	15.091	H
2457895.03780	14.22	0.027	15.18	H
2457898.00027	14.287	0.03	15.247	H
2457900.99182	14.189	0.026	15.149	H
2457903.98017	14.293	0.067	15.253	H
2457909.96049	14.191	0.026	15.151	H
2457912.94365	14.196	0.028	15.156	H
2457918.93942	14.189	0.025	15.149	H
2457924.92279	14.223	0.025	15.183	H
2457927.93702	14.164	0.029	15.124	H
2457930.91343	14.239	0.031	15.199	H
2457933.88273	14.309	0.031	15.269	H
2457936.91770	14.339	0.035	15.299	H
2457939.88948	14.355	0.033	15.315	H
2457945.91530	14.251	0.028	15.211	H
2457948.85847	14.375	0.036	15.335	H
2457951.85466	14.215	0.024	15.175	H
2457954.82981	14.182	0.026	15.142	H
2457957.82984	14.289	0.042	15.249	H
2457960.83700	14.374	0.038	15.334	H
2457966.81675	14.221	0.025	15.181	H
2457972.80806	14.217	0.024	15.177	H
2457978.80291	14.209	0.024	15.169	H
2457981.80642	14.199	0.027	15.159	H
2458222.08172	14.261	0.033	15.221	H
2458234.11399	14.306	0.026	15.266	H
2458255.00837	14.240	0.035	15.2	H
2458257.99967	14.276	0.031	15.236	H
2458260.99414	14.223	0.024	15.183	H
2458263.97154	14.26	0.032	15.22	H
2458266.95750	14.238	0.028	15.198	H
2458273.96993	14.325	0.044	15.285	H
2458279.92615	14.222	0.039	15.182	H
2458282.92564	14.245	0.032	15.205	H
2458285.94629	14.281	0.03	15.241	H
2458291.92387	14.299	0.034	15.259	H
2458294.92750	14.271	0.025	15.231	H
2458300.94126	14.269	0.03	15.229	H
2458303.96177	14.329	0.046	15.289	H
2458309.86408	14.227	0.031	15.187	H
2458312.85894	14.331	0.037	15.291	H
2458315.89496	14.24	0.032	15.2	H
2458321.84883	14.279	0.029	15.239	H
2458327.85844	14.205	0.034	15.165	H
2458330.80069	14.283	0.03	15.243	H
2458336.78635	14.223	0.04	15.183	H
